,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
64,136,9573.65,45588.94,0.17,1.72,0.06,0.2,0.25,0.45,tumor,False,False,True
65,137,9915.22,45551.44,0.23,0.75,0.21,0.01,0.06,1.54,stroma,False,False,True
66,138,9702.62,45419.49,0.14,0.42,0.63,0.0,0.04,0.13,stroma,False,False,True
67,139,9607.21,45541.03,0.0,0.26,0.55,0.0,0.31,0.19,stroma,False,False,True
68,140,9589.8,45379.66,0.42,0.51,0.72,0.23,0.01,0.54,stroma,False,False,True
69,141,9714.68,45675.45,0.0,0.43,0.36,0.52,0.17,0.07,stroma,False,False,True
70,142,9775.24,45439.76,0.48,0.0,0.85,0.8,0.02,0.0,stroma,False,False,True
71,143,9489.76,45746.43,0.28,1.42,0.45,0.28,0.01,0.08,stroma,False,False,True
72,144,9960.83,45429.4,0.29,0.73,0.31,0.0,0.2,0.33,stroma,False,False,True
73,145,9526.37,45649.55,0.3,0.61,0.36,0.2,0.39,0.95,tumor,False,False,True
74,146,9666.64,45779.67,0.0,0.47,0.24,0.0,0.09,0.47,stroma,False,False,True
75,147,9767.3,45456.87,0.0,0.0,0.58,0.26,0.02,0.24,stroma,False,False,True
76,148,9442.82,45679.08,0.53,1.14,0.97,0.0,0.21,2.1,stroma,False,False,False
77,149,9529.28,45673.09,0.0,0.1,0.32,0.0,0.15,0.04,stroma,False,False,True
78,150,9704.32,45430.94,0.0,0.05,0.54,0.0,0.0,0.5,stroma,False,False,True
79,151,9634.12,45608.89,0.25,0.47,0.37,0.1,0.08,0.68,stroma,False,False,True
80,152,9832.15,45505.66,0.24,1.03,0.0,0.0,0.05,0.51,stroma,False,False,True
81,153,9923.28,45485.23,0.13,2.28,0.0,0.32,0.1,0.22,stroma,False,False,True
82,154,9874.62,45448.17,0.15,0.0,0.79,0.26,0.07,0.0,stroma,False,False,True
83,155,9606.0,45779.79,0.0,1.29,0.37,0.09,0.19,0.0,tumor,False,False,True
84,156,9883.38,45541.8,0.03,1.03,0.47,0.33,0.07,1.07,stroma,False,False,True
85,157,9773.84,45460.93,0.15,0.0,0.05,0.03,0.03,0.48,stroma,False,False,True
86,158,9688.91,45461.58,0.29,0.0,1.34,0.27,0.04,0.14,stroma,False,False,True
87,159,9882.57,45490.92,0.11,0.39,0.78,0.05,0.01,0.0,stroma,False,False,True
88,160,9632.31,45481.82,0.0,0.17,0.33,0.19,0.04,0.0,stroma,False,False,True
89,161,9813.72,45416.98,0.26,0.79,0.14,0.24,0.16,0.1,stroma,False,False,True
90,162,9652.46,45509.28,0.36,0.36,0.94,0.0,0.08,0.31,stroma,False,False,True
91,163,9669.3,45632.46,0.2,0.0,0.37,0.05,0.04,0.13,stroma,False,False,True
92,164,9457.52,45662.41,0.01,0.15,3.98,0.28,0.11,1.85,stroma,False,False,False
93,165,9676.89,45370.59,0.0,0.0,0.39,0.01,0.06,0.32,stroma,False,False,True
94,166,9552.66,45438.26,0.07,0.25,0.32,0.0,0.03,0.0,stroma,False,False,True
95,167,9773.83,45530.84,0.0,0.0,0.28,0.0,0.12,1.25,stroma,False,False,True
96,168,9574.66,45752.23,0.02,2.06,0.51,0.05,0.13,0.54,tumor,False,False,True
97,169,9869.08,45298.34,0.1,0.16,0.31,0.0,0.04,0.04,stroma,False,False,True
98,170,9794.95,45747.67,0.0,0.41,0.65,0.0,0.05,0.09,stroma,False,False,True
99,171,9577.31,45488.68,0.0,1.2,0.21,0.0,0.11,0.04,stroma,False,False,True
100,172,9710.48,45827.38,0.05,0.24,0.34,0.37,0.02,0.1,stroma,False,False,True
