,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
67,456,14412.16,38297.5,2.29,0.22,0.81,0.42,1.21,0.45,stroma,False,True
68,457,14431.78,38555.53,0.28,2.44,0.18,0.28,0.0,0.31,tumor,False,True
69,458,14480.06,38298.9,0.41,0.23,0.22,0.0,0.0,0.42,stroma,False,True
70,459,14779.33,38475.84,1.25,0.17,2.29,0.13,0.67,0.33,stroma,False,True
71,460,14445.99,38531.46,0.34,2.54,0.0,0.23,0.39,0.09,tumor,False,True
72,461,14439.78,38249.11,0.0,0.2,0.29,0.07,0.11,0.0,stroma,False,True
73,462,14573.36,38216.72,0.63,0.15,0.0,0.11,0.0,0.41,stroma,False,True
74,463,14447.8,38469.76,0.76,0.53,0.29,0.19,0.31,0.1,stroma,False,True
75,464,14533.78,38183.23,0.39,0.08,0.0,0.0,0.0,0.09,stroma,False,True
76,465,14592.36,38404.38,0.08,0.0,0.0,0.01,0.0,0.0,stroma,False,True
77,466,14733.28,38519.54,1.43,0.0,1.88,0.13,1.01,0.0,stroma,False,True
78,467,14466.61,38141.91,0.56,0.11,0.0,0.08,0.0,0.17,stroma,False,True
79,468,14992.07,38128.99,1.27,0.04,4.43,0.4,1.38,0.4,stroma,False,True
80,469,14560.1,38355.57,0.7,0.02,0.46,0.18,1.24,0.08,stroma,False,True
81,470,14695.25,38321.23,0.0,0.21,0.0,0.06,0.0,0.0,stroma,False,True
82,471,14632.61,38553.57,0.67,0.56,0.43,0.22,0.91,0.0,stroma,False,True
83,472,14639.73,38530.19,0.24,0.03,0.35,0.16,0.58,0.32,stroma,False,True
84,473,14517.3,38363.83,0.02,0.04,0.0,0.14,0.32,0.09,stroma,False,True
85,474,14644.31,38568.79,0.69,0.97,0.1,0.07,0.18,0.4,stroma,False,True
86,475,14817.84,38228.75,1.28,0.45,1.94,0.25,0.63,0.24,stroma,False,True
87,476,14632.0,38471.25,0.1,0.0,0.19,0.12,0.31,0.0,stroma,False,True
88,477,14878.16,38278.01,0.49,0.33,2.68,0.26,2.3,0.29,stroma,False,True
89,478,14455.04,38338.7,0.4,0.01,0.09,0.01,0.22,0.25,stroma,False,True
90,479,14949.37,38157.33,0.8,0.1,5.16,0.34,3.43,0.05,stroma,False,True
91,480,14592.19,38225.18,0.44,0.27,0.02,0.15,0.0,0.05,stroma,False,True
92,481,14822.93,38098.9,0.03,0.26,0.26,0.04,0.14,0.13,stroma,False,True
93,482,14566.37,38072.12,0.0,0.05,0.0,0.08,0.0,0.3,stroma,False,True
94,483,14696.74,38238.83,0.23,0.0,0.19,0.06,0.0,0.35,stroma,False,True
95,484,14499.0,38050.95,0.37,0.0,0.0,0.0,0.0,0.19,stroma,False,True
96,485,14459.99,38378.11,0.2,0.27,0.69,0.11,0.05,0.18,stroma,False,True
97,486,14742.33,38135.32,1.34,0.22,1.78,0.19,0.3,0.29,stroma,False,True
98,487,14639.83,38334.99,0.13,0.0,0.03,0.15,0.01,0.0,stroma,False,True
99,488,14574.64,38583.54,0.39,2.68,0.0,0.22,0.0,0.02,tumor,False,True
100,489,14849.04,38360.56,1.28,0.2,4.64,0.42,1.88,2.96,stroma,False,True
101,490,14542.73,38617.35,0.0,2.33,0.0,0.24,0.0,0.26,tumor,False,True
102,491,14756.13,38579.08,0.0,0.24,0.89,0.29,0.5,0.28,stroma,False,True
103,492,14783.61,38169.2,0.0,0.01,0.97,0.16,0.02,0.5,stroma,False,True
104,493,14455.0,38425.28,0.42,0.52,0.34,0.27,0.48,0.21,stroma,False,True
105,494,14453.7,38608.75,0.16,4.59,0.0,0.27,0.19,0.0,tumor,False,True
106,495,14782.67,38302.54,0.0,0.23,0.29,0.03,0.0,0.67,stroma,False,True
107,496,14490.54,38543.42,0.71,2.77,0.86,0.39,3.09,0.34,tumor,False,True
108,497,14601.23,38590.11,0.0,2.57,0.0,0.2,0.11,0.4,tumor,False,True
109,498,14498.63,38623.8,1.05,0.44,0.62,1.04,0.19,0.32,stroma,False,True
110,499,14826.52,38603.09,0.48,0.02,0.0,0.01,0.0,0.0,stroma,False,True
111,500,14657.81,38471.1,0.0,0.11,0.27,0.1,0.0,0.15,stroma,False,True
112,501,14664.63,38540.67,1.59,0.26,0.55,0.23,0.37,0.21,stroma,False,True
113,502,14745.02,38290.13,0.45,0.57,2.91,0.35,3.04,0.28,stroma,False,True
114,503,14541.27,38483.64,0.08,0.28,0.15,0.16,0.07,0.0,stroma,False,True
115,504,14673.86,38252.59,0.08,0.0,0.38,0.14,0.12,0.05,stroma,False,True
116,505,14497.96,38366.27,0.0,0.0,0.0,0.0,0.17,0.0,stroma,False,True
117,506,14615.12,38561.51,0.37,3.06,0.01,0.11,0.2,0.0,tumor,False,True
118,507,14720.2,38197.68,0.41,0.12,0.59,0.07,0.79,0.0,stroma,False,True
119,508,14614.54,38136.88,0.0,0.14,0.31,0.13,0.19,0.33,stroma,False,True
120,509,14677.99,38307.8,0.13,0.0,0.34,0.0,0.0,0.1,stroma,False,True
121,510,14610.81,38399.35,0.23,0.0,0.0,0.07,0.13,0.0,stroma,False,True
122,511,14667.44,38570.24,1.17,0.57,0.52,0.17,0.45,0.01,stroma,False,True
123,512,14894.17,38332.42,0.2,0.45,0.34,0.3,0.0,0.11,stroma,False,True
124,513,14837.15,38271.07,0.0,0.09,1.25,0.22,1.24,0.0,stroma,False,True
125,514,14777.7,38134.3,0.58,0.44,0.55,0.01,0.0,0.0,stroma,False,True
